entry,00001030,entrypoint
z_boss_ganondrof,80911294,BossGanondrof_SetupPaintings
z_boss_ganondrof,809112D4,BossGanondrof_Paintings
z_boss_ganondrof,809114E8,BossGanondrof_SetupNeutral
z_boss_ganondrof,8091156C,BossGanondrof_Neutral
z_boss_ganondrof,80911CB0,BossGanondrof_SetupThrow
z_boss_ganondrof,80911DD8,BossGanondrof_Throw
z_boss_ganondrof,80912020,BossGanondrof_SetupReturn
z_boss_ganondrof,809120BC,BossGanondrof_Return
z_boss_ganondrof,809121E0,BossGanondrof_SetupStunned
z_boss_ganondrof,809122A4,BossGanondrof_Stunned
z_boss_ganondrof,809123D4,BossGanondrof_SetupBlock
z_boss_ganondrof,80912448,BossGanondrof_Block
z_boss_ganondrof,80912524,BossGanondrof_SetupCharge
z_boss_ganondrof,80912594,BossGanondrof_Charge
z_boss_ganondrof,80912C94,BossGanondrof_SetupDeath
z_boss_ganondrof,80912D2C,BossGanondrof_Death
z_boss_ganondrof,80913C54,BossGanondrof_CollisionCheck
z_boss_ganondrof,80913E8C,BossGanondrof_Update
z_boss_ganondrof,809142E0,BossGanondrof_OverrideLimbDraw
z_boss_ganondrof,809146DC,BossGanondrof_PostLimbDraw
z_boss_ganondrof,809147A0,BossGanondrof_GetClearPixelDList
z_boss_ganondrof,80914818,BossGanondrof_GetNullDList
z_boss_ganondrof,80914844,BossGanondrof_Draw
z_boss_goma,80915A10,BossGoma_ClearPixels16x16Rgba16
z_boss_goma,80915A40,BossGoma_ClearPixels32x32Rgba16
z_boss_goma,80915A94,BossGoma_ClearPixels
z_boss_goma,80915C44,BossGoma_Init
z_boss_goma,80915DF8,BossGoma_PlayEffectsAndSfx
z_boss_goma,80915F00,BossGoma_Destroy
z_boss_goma,80915F38,BossGoma_SetupDefeated
z_boss_goma,80916000,BossGoma_SetupEncounter
z_boss_goma,809160A4,BossGoma_SetupFloorIdle
z_boss_goma,8091612C,BossGoma_SetupCeilingIdle
z_boss_goma,809161B0,BossGoma_SetupFallJump
z_boss_goma,8091622C,BossGoma_SetupFallStruckDown
z_boss_goma,809162A8,BossGoma_SetupCeilingSpawnGohmas
z_boss_goma,8091631C,BossGoma_SetupCeilingPrepareSpawnGohmas
z_boss_goma,80916394,BossGoma_SetupWallClimb
z_boss_goma,80916418,BossGoma_SetupCeilingMoveToCenter
z_boss_goma,809164AC,BossGoma_SetupFloorMain
z_boss_goma,80916530,BossGoma_SetupFloorLand
z_boss_goma,809165C0,BossGoma_SetupFloorLandStruckDown
z_boss_goma,80916668,BossGoma_SetupFloorStunned
z_boss_goma,809166D8,BossGoma_SetupFloorAttackPosture
z_boss_goma,8091674C,BossGoma_SetupFloorPrepareAttack
z_boss_goma,809167C0,BossGoma_SetupFloorAttack
z_boss_goma,8091683C,BossGoma_SetupFloorDamaged
z_boss_goma,809168B0,BossGoma_UpdateCeilingMovement
z_boss_goma,80916AEC,BossGoma_SetupEncounterState4
z_boss_goma,80916C9C,BossGoma_Encounter
z_boss_goma,80917D98,BossGoma_Defeated
z_boss_goma,80918C08,BossGoma_FloorAttackPosture
z_boss_goma,80918D10,BossGoma_FloorPrepareAttack
z_boss_goma,80918D6C,BossGoma_FloorAttack
z_boss_goma,80918FBC,BossGoma_FloorDamaged
z_boss_goma,80919054,BossGoma_FloorLandStruckDown
z_boss_goma,809190F8,BossGoma_FloorLand
z_boss_goma,80919150,BossGoma_FloorStunned
z_boss_goma,80919278,BossGoma_FallJump
z_boss_goma,8091932C,BossGoma_FallStruckDown
z_boss_goma,809193EC,BossGoma_CeilingSpawnGohmas
z_boss_goma,80919548,BossGoma_CeilingPrepareSpawnGohmas
z_boss_goma,809195A4,BossGoma_FloorIdle
z_boss_goma,8091960C,BossGoma_CeilingIdle
z_boss_goma,80919704,BossGoma_FloorMain
z_boss_goma,80919974,BossGoma_WallClimb
z_boss_goma,80919A40,BossGoma_CeilingMoveToCenter
z_boss_goma,80919C38,BossGoma_UpdateEye
z_boss_goma,80919E80,BossGoma_UpdateTailLimbsScale
z_boss_goma,80919F8C,BossGoma_UpdateHit
z_boss_goma,8091A16C,BossGoma_UpdateMainEnvColor
z_boss_goma,8091A2E8,BossGoma_UpdateEyeEnvColor
z_boss_goma,8091A390,BossGoma_Update
z_boss_goma,8091A560,BossGoma_OverrideLimbDraw
z_boss_goma,8091A9E8,BossGoma_PostLimbDraw
z_boss_goma,8091ABEC,BossGoma_EmptyDlist
z_boss_goma,8091AC18,BossGoma_NoBackfaceCullingDlist
z_boss_goma,8091AC90,BossGoma_Draw
z_boss_goma,8091ADA8,BossGoma_SpawnChildGohma
z_boss_mo,8091BB00,func_8091BB00
z_boss_mo,8091BB1C,func_8091BB1C
z_boss_mo,8091BC40,func_8091BC40
z_boss_mo,8091BD38,func_8091BD38
z_boss_mo,8091BE5C,func_8091BE5C
z_boss_mo,8091BF38,func_8091BF38
z_boss_mo,8091BFFC,func_8091BFFC
z_boss_mo,8091C0B0,BossMo_Init
z_boss_mo,8091C494,BossMo_Destroy
z_boss_mo,8091C4E0,func_8091C4E0
z_boss_mo,8091C538,func_8091C538
z_boss_mo,8091F2FC,func_8091F2FC
z_boss_mo,8091F5A8,func_8091F5A8
z_boss_mo,809206C4,func_809206C4
z_boss_mo,80921280,func_80921280
z_boss_mo,809216D0,func_809216D0
z_boss_mo,80922D30,func_80922D30
z_boss_mo,80922F74,BossMo_Update
z_boss_mo,809237C4,func_809237C4
z_boss_mo,80923870,func_80923870
z_boss_mo,80923FDC,func_80923FDC
z_boss_mo,80924228,func_80924228
z_boss_mo,80924B08,BossMo_Draw
z_boss_mo,80924D70,func_80924D70
z_boss_mo,80925480,func_80925480
z_boss_mo,80925C18,func_80925C18
z_boss_sst,8092C5D0,BossSst_Init
z_boss_sst,8092CA54,BossSst_Destroy
z_boss_sst,8092CAA0,BossSst_HeadSetupLurk
z_boss_sst,8092CAD0,BossSst_HeadLurk
z_boss_sst,8092CB0C,BossSst_HeadSetupIntro
z_boss_sst,8092CC58,BossSst_HeadIntro
z_boss_sst,8092DA6C,BossSst_HeadSetupWait
z_boss_sst,8092DAB8,BossSst_HeadWait
z_boss_sst,8092DB30,BossSst_HeadSetupNeutral
z_boss_sst,8092DB4C,BossSst_HeadNeutral
z_boss_sst,8092DCEC,BossSst_HeadSetupDamagedHand
z_boss_sst,8092DD50,BossSst_HeadDamagedHand
z_boss_sst,8092DE48,BossSst_HeadSetupReadyCharge
z_boss_sst,8092DEA0,BossSst_HeadReadyCharge
z_boss_sst,8092DF40,BossSst_HeadSetupCharge
z_boss_sst,8092DFFC,BossSst_HeadCharge
z_boss_sst,8092E25C,BossSst_HeadSetupEndCharge
z_boss_sst,8092E2E0,BossSst_HeadEndCharge
z_boss_sst,8092E34C,BossSst_HeadSetupFrozenHand
z_boss_sst,8092E3A0,BossSst_HeadFrozenHand
z_boss_sst,8092E3E8,BossSst_HeadSetupUnfreezeHand
z_boss_sst,8092E438,BossSst_HeadUnfreezeHand
z_boss_sst,8092E470,BossSst_HeadSetupStunned
z_boss_sst,8092E510,BossSst_HeadStunned
z_boss_sst,8092E790,BossSst_HeadSetupVulnerable
z_boss_sst,8092E830,BossSst_HeadVulnerable
z_boss_sst,8092E930,BossSst_HeadSetupDamage
z_boss_sst,8092EA00,BossSst_HeadDamage
z_boss_sst,8092EA50,BossSst_HeadSetupRecover
z_boss_sst,8092EAE0,BossSst_HeadRecover
z_boss_sst,8092EC74,BossSst_SetCameraTargets
z_boss_sst,8092ED9C,BossSst_UpdateDeathCamera
z_boss_sst,8092EF28,BossSst_HeadSetupDeath
z_boss_sst,8092F0BC,BossSst_HeadDeath
z_boss_sst,8092F30C,BossSst_HeadSetupThrash
z_boss_sst,8092F374,BossSst_HeadThrash
z_boss_sst,8092F3F0,BossSst_HeadSetupDarken
z_boss_sst,8092F434,BossSst_HeadDarken
z_boss_sst,8092F65C,BossSst_HeadSetupFall
z_boss_sst,8092F6F0,BossSst_HeadFall
z_boss_sst,8092F790,BossSst_HeadSetupMelt
z_boss_sst,8092F7DC,BossSst_HeadMelt
z_boss_sst,8092F894,BossSst_HeadSetupFinish
z_boss_sst,8092F8F0,BossSst_HeadFinish
z_boss_sst,8092FBE4,BossSst_HandSetupWait
z_boss_sst,8092FC60,BossSst_HandWait
z_boss_sst,8092FDD0,BossSst_HandSetupDownbeat
z_boss_sst,8092FE44,BossSst_HandDownbeat
z_boss_sst,8092FF94,BossSst_HandSetupDownbeatEnd
z_boss_sst,8092FFF0,BossSst_HandDownbeatEnd
z_boss_sst,809300E4,BossSst_HandSetupOffbeat
z_boss_sst,80930158,BossSst_HandOffbeat
z_boss_sst,80930238,BossSst_HandSetupOffbeatEnd
z_boss_sst,80930284,BossSst_HandOffbeatEnd
z_boss_sst,809303C8,BossSst_HandSetupEndSlam
z_boss_sst,8093043C,BossSst_HandEndSlam
z_boss_sst,80930474,BossSst_HandSetupRetreat
z_boss_sst,8093051C,BossSst_HandRetreat
z_boss_sst,80930748,BossSst_HandSetupReadySlam
z_boss_sst,809307B4,BossSst_HandReadySlam
z_boss_sst,809308A4,BossSst_HandSetupSlam
z_boss_sst,80930934,BossSst_HandSlam
z_boss_sst,80930B18,BossSst_HandSetupReadySweep
z_boss_sst,80930BC0,BossSst_HandReadySweep
z_boss_sst,80930CE4,BossSst_HandSetupSweep
z_boss_sst,80930D70,BossSst_HandSweep
z_boss_sst,80930F80,BossSst_HandSetupReadyPunch
z_boss_sst,80930FE8,BossSst_HandReadyPunch
z_boss_sst,80931044,BossSst_HandSetupPunch
z_boss_sst,809310CC,BossSst_HandPunch
z_boss_sst,80931210,BossSst_HandSetupReadyClap
z_boss_sst,80931300,BossSst_HandReadyClap
z_boss_sst,809314F0,BossSst_HandSetupClap
z_boss_sst,80931560,BossSst_HandClap
z_boss_sst,80931788,BossSst_HandSetupEndClap
z_boss_sst,809317F8,BossSst_HandEndClap
z_boss_sst,809318A0,BossSst_HandSetupReadyGrab
z_boss_sst,80931928,BossSst_HandReadyGrab
z_boss_sst,809319D0,BossSst_HandSetupGrab
z_boss_sst,80931A5C,BossSst_HandGrab
z_boss_sst,80931D04,BossSst_HandSetupCrush
z_boss_sst,80931D5C,BossSst_HandCrush
z_boss_sst,80931E70,BossSst_HandSetupEndCrush
z_boss_sst,80931EC0,BossSst_HandEndCrush
z_boss_sst,80931EF8,BossSst_HandSetupSwing
z_boss_sst,80931F84,BossSst_HandSwing
z_boss_sst,809322B4,BossSst_HandSetupReel
z_boss_sst,8093234C,BossSst_HandReel
z_boss_sst,809324A4,BossSst_HandSetupReadyShake
z_boss_sst,809324F4,BossSst_HandReadyShake
z_boss_sst,8093265C,BossSst_HandSetupShake
z_boss_sst,80932674,BossSst_HandShake
z_boss_sst,80932808,BossSst_HandSetupReadyCharge
z_boss_sst,8093285C,BossSst_HandReadyCharge
z_boss_sst,809329D4,BossSst_HandSetupStunned
z_boss_sst,80932A80,BossSst_HandStunned
z_boss_sst,80932BDC,BossSst_HandSetupDamage
z_boss_sst,80932C38,BossSst_HandDamage
z_boss_sst,80932D10,BossSst_HandSetupThrash
z_boss_sst,80932DAC,BossSst_HandThrash
z_boss_sst,80932FA0,BossSst_HandSetupDarken
z_boss_sst,80932FF0,BossSst_HandDarken
z_boss_sst,80933064,BossSst_HandSetupFall
z_boss_sst,809330B4,BossSst_HandFall
z_boss_sst,80933134,BossSst_HandSetupMelt
z_boss_sst,80933170,BossSst_HandMelt
z_boss_sst,809331E8,BossSst_HandSetupFinish
z_boss_sst,80933210,BossSst_HandFinish
z_boss_sst,8093323C,BossSst_HandSetupRecover
z_boss_sst,80933290,BossSst_HandRecover
z_boss_sst,80933328,BossSst_HandSetupFrozen
z_boss_sst,809333F4,BossSst_HandFrozen
z_boss_sst,80933554,BossSst_HandSetupReadyBreakIce
z_boss_sst,80933608,BossSst_HandReadyBreakIce
z_boss_sst,80933724,BossSst_HandSetupBreakIce
z_boss_sst,80933748,BossSst_HandBreakIce
z_boss_sst,809338DC,BossSst_HandGrabPlayer
z_boss_sst,80933978,BossSst_HandReleasePlayer
z_boss_sst,809339F8,BossSst_MoveAround
z_boss_sst,80933B84,BossSst_HandSelectAttack
z_boss_sst,80933C80,BossSst_HandSetDamage
z_boss_sst,80933CEC,BossSst_HandSetInvulnerable
z_boss_sst,80933D2C,BossSst_HeadSfx
z_boss_sst,80933D54,BossSst_HandCollisionCheck
z_boss_sst,80933EE0,BossSst_HeadCollisionCheck
z_boss_sst,8093402C,BossSst_UpdateHand
z_boss_sst,80934338,BossSst_UpdateHead
z_boss_sst,809345A4,BossSst_OverrideHandDraw
z_boss_sst,809345F0,BossSst_PostHandDraw
z_boss_sst,80934628,BossSst_OverrideHandTrailDraw
z_boss_sst,80934668,BossSst_DrawHand
z_boss_sst,80934A44,BossSst_OverrideHeadDraw
z_boss_sst,80935238,BossSst_PostHeadDraw
z_boss_sst,809352DC,BossSst_DrawHead
z_boss_sst,80935764,BossSst_SpawnHeadShadow
z_boss_sst,80935890,BossSst_SpawnHandShadow
z_boss_sst,80935948,BossSst_SpawnShockwave
z_boss_sst,80935A20,BossSst_SpawnIceCrystal
z_boss_sst,80935CDC,BossSst_SpawnIceShard
z_boss_sst,80935F30,BossSst_IceShatter
z_boss_sst,809360FC,BossSst_UpdateEffect
z_boss_sst,8093639C,BossSst_DrawEffect
z_boss_tw,80938CD0,func_80938CD0
z_boss_tw,80938DC4,func_80938DC4
z_boss_tw,80938EC0,func_80938EC0
z_boss_tw,80938FC4,func_80938FC4
z_boss_tw,80939070,func_80939070
z_boss_tw,80939148,func_80939148
z_boss_tw,80939250,func_80939250
z_boss_tw,80939338,func_80939338
z_boss_tw,809394FC,func_809394FC
z_boss_tw,809396C0,BossTw_Init
z_boss_tw,80939ED8,BossTw_Destroy
z_boss_tw,80939F40,func_80939F40
z_boss_tw,80939F88,func_80939F88
z_boss_tw,8093A0A8,func_8093A0A8
z_boss_tw,8093A2AC,func_8093A2AC
z_boss_tw,8093A4DC,func_8093A4DC
z_boss_tw,8093A5C4,func_8093A5C4
z_boss_tw,8093A940,func_8093A940
z_boss_tw,8093AB30,func_8093AB30
z_boss_tw,8093ADB4,func_8093ADB4
z_boss_tw,8093AED8,func_8093AED8
z_boss_tw,8093B1AC,func_8093B1AC
z_boss_tw,8093C164,func_8093C164
z_boss_tw,8093C1C4,func_8093C1C4
z_boss_tw,8093C25C,func_8093C25C
z_boss_tw,8093C2C4,func_8093C2C4
z_boss_tw,8093C58C,func_8093C58C
z_boss_tw,8093C5F4,func_8093C5F4
z_boss_tw,8093C684,func_8093C684
z_boss_tw,8093C700,func_8093C700
z_boss_tw,8093C79C,func_8093C79C
z_boss_tw,8093C7E4,func_8093C7E4
z_boss_tw,8093C824,func_8093C824
z_boss_tw,8093C858,func_8093C858
z_boss_tw,8093C8F4,func_8093C8F4
z_boss_tw,8093C910,func_8093C910
z_boss_tw,8093D3D8,func_8093D3D8
z_boss_tw,8093D444,func_8093D444
z_boss_tw,8093D54C,func_8093D54C
z_boss_tw,8093D580,func_8093D580
z_boss_tw,8093D58C,func_8093D58C
z_boss_tw,8093D5C0,func_8093D5C0
z_boss_tw,8093EE10,func_8093EE10
z_boss_tw,8093F108,func_8093F108
z_boss_tw,8093F1C4,func_8093F1C4
z_boss_tw,8093F9E4,func_8093F9E4
z_boss_tw,809406D4,BossTw_Update
z_boss_tw,80940D48,func_80940D48
z_boss_tw,809416D0,func_809416D0
z_boss_tw,80941788,func_80941788
z_boss_tw,80941BC0,func_80941BC0
z_boss_tw,80942180,func_80942180
z_boss_tw,809426F0,func_809426F0
z_boss_tw,80942C70,func_80942C70
z_boss_tw,80943028,func_80943028
z_boss_tw,80943274,BossTw_Draw
z_boss_tw,80943950,func_80943950
z_boss_tw,80943D90,func_80943D90
z_boss_tw,80943F08,func_80943F08
z_boss_tw,809447BC,func_809447BC
z_boss_tw,80944C50,func_80944C50
z_boss_tw,80945084,func_80945084
z_boss_tw,809453EC,func_809453EC
z_boss_tw,80945D14,func_80945D14
z_boss_tw,8094687C,func_8094687C
z_boss_tw,80946B00,func_80946B00
z_boss_tw,80946C7C,func_80946C7C
z_boss_tw,80947240,func_80947240
z_boss_tw,809477E0,func_809477E0
z_boss_tw,80948528,func_80948528
z_boss_tw,80948544,func_80948544
z_boss_tw,80948668,func_80948668
z_boss_tw,80949530,func_80949530
z_boss_tw,809495A4,func_809495A4
z_boss_tw,809496D0,func_809496D0
z_boss_tw,80949734,func_80949734
z_boss_tw,80949920,func_80949920
z_boss_tw,809499AC,func_809499AC
z_boss_tw,80949BFC,func_80949BFC
z_boss_tw,80949C4C,func_80949C4C
z_boss_tw,80949CE4,func_80949CE4
z_boss_tw,80949E10,func_80949E10
z_boss_tw,8094A0C4,func_8094A0C4
z_boss_tw,8094A12C,func_8094A12C
z_boss_tw,8094A1C0,func_8094A1C0
z_boss_tw,8094A398,func_8094A398
z_boss_tw,8094A608,func_8094A608
z_boss_tw,8094A660,func_8094A660
z_boss_tw,8094A6D8,func_8094A6D8
z_boss_tw,8094A740,func_8094A740
z_boss_va,8094F2C0,func_8094F2C0
z_boss_va,8094F2C8,func_8094F2C8
z_boss_va,8094F50C,func_8094F50C
z_boss_va,8094F60C,func_8094F60C
z_boss_va,8094F734,func_8094F734
z_boss_va,8094F864,func_8094F864
z_boss_va,8094F9E8,func_8094F9E8
z_boss_va,8094FB6C,func_8094FB6C
z_boss_va,8094FBB4,func_8094FBB4
z_boss_va,8094FC30,func_8094FC30
z_boss_va,8094FC70,func_8094FC70
z_boss_va,8094FE5C,BossVa_Init
z_boss_va,809506A8,BossVa_Destroy
z_boss_va,809506F0,func_809506F0
z_boss_va,80950780,func_80950780
z_boss_va,809517A0,func_809517A0
z_boss_va,80951844,func_80951844
z_boss_va,80951AD8,func_80951AD8
z_boss_va,80951C04,func_80951C04
z_boss_va,80952100,func_80952100
z_boss_va,8095213C,func_8095213C
z_boss_va,809527A4,func_809527A4
z_boss_va,80952858,func_80952858
z_boss_va,8095335C,func_8095335C
z_boss_va,809533F4,func_809533F4
z_boss_va,80953F4C,func_80953F4C
z_boss_va,80953FC4,func_80953FC4
z_boss_va,809540E4,func_809540E4
z_boss_va,80954168,func_80954168
z_boss_va,8095438C,func_8095438C
z_boss_va,80954454,func_80954454
z_boss_va,80954924,func_80954924
z_boss_va,809549A8,func_809549A8
z_boss_va,80954A3C,func_80954A3C
z_boss_va,80954AD0,func_80954AD0
z_boss_va,80954B8C,func_80954B8C
z_boss_va,80954C20,func_80954C20
z_boss_va,80955658,func_80955658
z_boss_va,8095575C,func_8095575C
z_boss_va,8095586C,func_8095586C
z_boss_va,80955940,func_80955940
z_boss_va,80955E64,func_80955E64
z_boss_va,80955EEC,func_80955EEC
z_boss_va,80956644,func_80956644
z_boss_va,809566C4,func_809566C4
z_boss_va,809567D0,func_809567D0
z_boss_va,809568E0,func_809568E0
z_boss_va,80956E38,func_80956E38
z_boss_va,80956EE0,func_80956EE0
z_boss_va,809572DC,func_809572DC
z_boss_va,80957384,func_80957384
z_boss_va,80957998,func_80957998
z_boss_va,809579F4,func_809579F4
z_boss_va,80957C10,func_80957C10
z_boss_va,80957C68,func_80957C68
z_boss_va,80957C9C,func_80957C9C
z_boss_va,80957CEC,func_80957CEC
z_boss_va,80957D5C,BossVa_Update
z_boss_va,80957F60,func_80957F60
z_boss_va,80958150,func_80958150
z_boss_va,809586A4,func_809586A4
z_boss_va,809586E4,func_809586E4
z_boss_va,80958934,func_80958934
z_boss_va,80958B0C,func_80958B0C
z_boss_va,80958F6C,func_80958F6C
z_boss_va,80958FFC,func_80958FFC
z_boss_va,809591C8,BossVa_Draw
z_boss_va,809597F4,func_809597F4
z_boss_va,8095A188,func_8095A188
z_boss_va,8095B028,func_8095B028
z_boss_va,8095B318,func_8095B318
z_boss_va,8095B4A4,func_8095B4A4
z_boss_va,8095B670,func_8095B670
z_boss_va,8095B80C,func_8095B80C
z_boss_va,8095B9B0,func_8095B9B0
z_boss_va,8095BBD0,func_8095BBD0
z_boss_va,8095BD24,func_8095BD24
z_demo_6k,80966950,Demo6K_SetupAction
z_demo_6k,80966958,Demo6K_Init
z_demo_6k,80966D80,Demo6K_Destroy
z_demo_6k,80966DB0,func_80966DB0
z_demo_6k,80966E04,func_80966E04
z_demo_6k,80966E98,func_80966E98
z_demo_6k,80966F84,func_80966F84
z_demo_6k,809670AC,func_809670AC
z_demo_6k,8096712C,func_8096712C
z_demo_6k,80967244,func_80967244
z_demo_6k,80967410,func_80967410
z_demo_6k,809674E0,func_809674E0
z_demo_6k,809676A4,func_809676A4
z_demo_6k,8096784C,func_8096784C
z_demo_6k,80967A04,func_80967A04
z_demo_6k,80967AD0,func_80967AD0
z_demo_6k,80967BF8,func_80967BF8
z_demo_6k,80967DBC,func_80967DBC
z_demo_6k,80967F10,func_80967F10
z_demo_6k,80967FD8,Demo6K_Update
z_demo_6k,80967FFC,func_80967FFC
z_demo_6k,80968298,func_80968298
z_demo_6k,8096865C,func_8096865C
z_demo_6k,809688C4,func_809688C4
z_demo_6k,80968B70,func_80968B70
z_demo_6k,80968FB0,func_80968FB0
z_demo_6k,809691BC,func_809691BC
z_demo_du,80969AD0,DemoDu_Destroy
z_demo_du,80969AF0,DemoDu_UpdateEyes
z_demo_du,80969B78,DemoDu_SetEyeTexIndex
z_demo_du,80969B8C,DemoDu_SetMouthTexIndex
z_demo_du,80969BA0,DemoDu_CsAfterGanon_Reset
z_demo_du,80969BC4,DemoDu_CsAfterGanon_CheckIfShouldReset
z_demo_du,80969C38,DemoDu_UpdateSkelAnime
z_demo_du,80969C58,DemoDu_UpdateBgCheckInfo
z_demo_du,80969CA0,DemoDu_GetNpcAction
z_demo_du,80969CC4,DemoDu_IsNpcDoingThisAction
z_demo_du,80969D10,DemoDu_IsNpcNotDoingThisAction
z_demo_du,80969D5C,DemoDu_MoveToNpcPos
z_demo_du,80969DDC,func_80969DDC
z_demo_du,80969E6C,DemoDu_InitCs_FireMedallion
z_demo_du,80969EDC,DemoDu_CsFireMedallion_SpawnDoorWarp
z_demo_du,80969F38,func_80969F38
z_demo_du,80969FB4,func_80969FB4
z_demo_du,80969FD0,DemoDu_CsFireMedallion_AdvanceTo01
z_demo_du,8096A05C,DemoDu_CsFireMedallion_AdvanceTo02
z_demo_du,8096A0AC,DemoDu_CsFireMedallion_AdvanceTo03
z_demo_du,8096A0D8,DemoDu_CsFireMedallion_AdvanceTo04
z_demo_du,8096A16C,DemoDu_CsFireMedallion_AdvanceTo05
z_demo_du,8096A1D8,DemoDu_CsFireMedallion_AdvanceTo06
z_demo_du,8096A224,DemoDu_UpdateCs_FM_00
z_demo_du,8096A244,DemoDu_UpdateCs_FM_01
z_demo_du,8096A264,DemoDu_UpdateCs_FM_02
z_demo_du,8096A294,DemoDu_UpdateCs_FM_03
z_demo_du,8096A2CC,DemoDu_UpdateCs_FM_04
z_demo_du,8096A300,DemoDu_UpdateCs_FM_05
z_demo_du,8096A338,DemoDu_UpdateCs_FM_06
z_demo_du,8096A360,DemoDu_InitCs_GoronsRuby
z_demo_du,8096A3B4,DemoDu_CsPlaySfx_GoronLanding
z_demo_du,8096A3D8,DemoDu_CsPlaySfx_DaruniaFalling
z_demo_du,8096A408,DemoDu_CsPlaySfx_DaruniaHitsLink
z_demo_du,8096A45C,DemoDu_CsPlaySfx_HitBreast
z_demo_du,8096A480,DemoDu_CsPlaySfx_LinkEscapeFromGorons
z_demo_du,8096A4D4,DemoDu_CsPlaySfx_LinkSurprised
z_demo_du,8096A528,DemoDu_CsGoronsRuby_UpdateFaceTextures
z_demo_du,8096A630,func_8096A630
z_demo_du,8096A6E0,DemoDu_CsGoronsRuby_SpawnDustWhenHittingLink
z_demo_du,8096A970,DemoDu_CsGoronsRuby_DaruniaFalling
z_demo_du,8096AA4C,DemoDu_CsGoronsRuby_AdvanceTo01
z_demo_du,8096AA5C,DemoDu_CsGoronsRuby_AdvanceTo02
z_demo_du,8096AB00,DemoDu_CsGoronsRuby_AdvanceTo03
z_demo_du,8096AB54,DemoDu_CsGoronsRuby_AdvanceTo04
z_demo_du,8096AB8C,DemoDu_CsGoronsRuby_AdvanceTo05
z_demo_du,8096ABF8,DemoDu_CsGoronsRuby_AdvanceTo06
z_demo_du,8096AC90,DemoDu_CsGoronsRuby_AdvanceTo07
z_demo_du,8096ACFC,DemoDu_CsGoronsRuby_AdvanceTo08
z_demo_du,8096AD90,DemoDu_CsGoronsRuby_AdvanceTo09
z_demo_du,8096AE00,DemoDu_CsGoronsRuby_AdvanceTo10
z_demo_du,8096AE6C,DemoDu_CsGoronsRuby_AdvanceTo11
z_demo_du,8096AF00,DemoDu_CsGoronsRuby_AdvanceTo12
z_demo_du,8096AF6C,DemoDu_CsGoronsRuby_AdvanceTo13
z_demo_du,8096AFFC,DemoDu_UpdateCs_GR_00
z_demo_du,8096B030,DemoDu_UpdateCs_GR_01
z_demo_du,8096B06C,DemoDu_UpdateCs_GR_02
z_demo_du,8096B0C0,DemoDu_UpdateCs_GR_03
z_demo_du,8096B0F8,DemoDu_UpdateCs_GR_04
z_demo_du,8096B140,DemoDu_UpdateCs_GR_05
z_demo_du,8096B184,DemoDu_UpdateCs_GR_06
z_demo_du,8096B1DC,DemoDu_UpdateCs_GR_07
z_demo_du,8096B220,DemoDu_UpdateCs_GR_08
z_demo_du,8096B27C,DemoDu_UpdateCs_GR_09
z_demo_du,8096B2D4,DemoDu_UpdateCs_GR_10
z_demo_du,8096B318,DemoDu_UpdateCs_GR_11
z_demo_du,8096B360,DemoDu_UpdateCs_GR_12
z_demo_du,8096B3A4,DemoDu_UpdateCs_GR_13
z_demo_du,8096B3E4,DemoDu_InitCs_AfterGanon
z_demo_du,8096B488,DemoDu_CsPlaySfx_WhiteOut
z_demo_du,8096B4A8,DemoDu_CsAfterGanon_SpawnDemo6K
z_demo_du,8096B528,DemoDu_CsAfterGanon_AdvanceTo01
z_demo_du,8096B57C,DemoDu_CsAfterGanon_AdvanceTo02
z_demo_du,8096B6D0,DemoDu_CsAfterGanon_BackTo01
z_demo_du,8096B768,DemoDu_UpdateCs_AG_00
z_demo_du,8096B798,DemoDu_UpdateCs_AG_01
z_demo_du,8096B7EC,DemoDu_UpdateCs_AG_02
z_demo_du,8096B840,DemoDu_Draw_02
z_demo_du,8096BA2C,DemoDu_InitCs_Credits
z_demo_du,8096BA98,DemoDu_CsCredits_UpdateShadowAlpha
z_demo_du,8096BB24,DemoDu_CsCredits_AdvanceTo01
z_demo_du,8096BB5C,DemoDu_CsCredits_AdvanceTo02
z_demo_du,8096BBA8,DemoDu_CsCredits_AdvanceTo03
z_demo_du,8096BBE8,DemoDu_CsCredits_AdvanceTo04
z_demo_du,8096BC28,DemoDu_CsCredits_BackTo02
z_demo_du,8096BC6C,DemoDu_CsCredits_HandleSubscenesByNpcAction
z_demo_du,8096BD2C,DemoDu_UpdateCs_CR_00
z_demo_du,8096BD4C,DemoDu_UpdateCs_CR_01
z_demo_du,8096BD94,DemoDu_UpdateCs_CR_02
z_demo_du,8096BDD4,DemoDu_UpdateCs_CR_03
z_demo_du,8096BE14,DemoDu_UpdateCs_CR_04
z_demo_du,8096BE54,DemoDu_Update
z_demo_du,8096BEB0,DemoDu_Init
z_demo_du,8096BF54,DemoDu_Draw_NoDraw
z_demo_du,8096BF60,DemoDu_Draw_01
z_demo_du,8096C138,DemoDu_Draw
z_demo_ec,8096D4B0,DemoEc_Destroy
z_demo_ec,8096D4D0,DemoEc_Init
z_demo_ec,8096D52C,DemoEc_UpdateSkelAnime
z_demo_ec,8096D54C,DemoEc_UpdateBgFlags
z_demo_ec,8096D594,func_8096D594
z_demo_ec,8096D5D4,func_8096D5D4
